customer_id,recency_days,tenure_days,order_frequency,is_repeat_customer,monetary_value,log_monetary_value,avg_order_value,log_avg_order_value,avg_basket_size,total_items_purchased,category_diversity,cat_apparel_ratio,cat_electronics_ratio,cat_groceries_ratio,discount_order_pct,avg_discount_pct,return_rate,cancellation_rate,avg_review_score,review_response_rate,weekend_order_ratio,avg_days_between_orders,log_days_between_orders,cod_payment_ratio,upi_payment_ratio,avg_delivery_delay_days
CUST-10000,382,474,1,0,19302.41,9.868037043224032,19302.41,9.868037043224032,4.0,4,2,0.25,0.5,0.0,1.0,0.1,0.0,0.0,3.0,1.0,1.0,75.0,4.330733340286331,0.0,1.0,0.0
CUST-10001,121,344,1,0,8800.81,9.082712661134874,8800.81,9.082712661134874,1.0,1,1,0.0,1.0,0.0,1.0,0.05,0.0,0.0,5.0,1.0,0.0,75.0,4.330733340286331,0.0,1.0,0.0
CUST-10002,160,687,1,0,3000.46,8.006854115933098,3000.46,8.006854115933098,2.0,2,1,1.0,0.0,0.0,1.0,0.1,0.0,0.0,5.0,1.0,0.0,75.0,4.330733340286331,0.0,1.0,0.0
CUST-10003,72,463,1,0,3678.7200000000003,8.210591941311696,3678.7200000000003,8.210591941311696,3.0,3,2,0.6666666666666666,0.0,0.3333333333333333,1.0,0.2,0.0,0.0,4.115993984800881,0.0,0.0,75.0,4.330733340286331,1.0,0.0,0.0
CUST-10004,141,421,1,0,7040.24,8.859539570005536,7040.24,8.859539570005536,2.0,2,2,0.0,0.0,0.0,1.0,0.1,0.0,0.5,4.0,1.0,0.0,75.0,4.330733340286331,0.0,0.0,0.0
CUST-10005,53,60,1,0,14288.5,9.567280280808617,14288.5,9.567280280808617,3.0,3,2,0.0,0.3333333333333333,0.0,1.0,0.2,0.0,0.0,4.0,1.0,1.0,75.0,4.330733340286331,1.0,0.0,0.0
CUST-10006,409,454,1,0,2721.7400000000002,7.909394005191729,2721.7400000000002,7.909394005191729,2.0,2,1,1.0,0.0,0.0,1.0,0.2,0.0,0.0,3.0,1.0,0.0,75.0,4.330733340286331,0.0,0.0,1.0
CUST-10007,235,257,1,0,1093.34,6.997906720803961,1093.34,6.997906720803961,1.0,1,1,1.0,0.0,0.0,1.0,0.05,0.0,0.0,5.0,1.0,1.0,75.0,4.330733340286331,0.0,1.0,0.0
CUST-10008,148,165,2,1,17428.3,9.765907977065035,8714.15,9.07281816950996,1.0,2,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.115993984800881,0.0,0.0,13.0,2.6390573296152584,0.0,0.0,0.0
CUST-10009,565,587,1,0,520.77,6.257226877757376,520.77,6.257226877757376,1.0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.115993984800881,0.0,1.0,75.0,4.330733340286331,0.0,0.0,2.0
